MAPUA_LABEL,FSL105_LABEL,CANONICAL_CONCEPT,STATUS,REASON
,TUESDAY,TUESDAY,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,UNCLE,UNCLE,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,UNDERSTAND,UNDERSTAND,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,VIOLET,VIOLET,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,WEDNESDAY,WEDNESDAY,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,WEELCHAIR PERSON,WEELCHAIR_PERSON,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,WHITE,WHITE,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,WINE,WINE,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,WOMAN,WOMAN,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,WRONG,WRONG,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,YELLOW,YELLOW,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
,YESTERDAY,YESTERDAY,FSL105_ONLY,No Mapúa Transactional FSL v1 exact-text or designated semantic-candidate label.
